X001001008001 资讯_居住_房产
X001001012001 资讯_汽车_保养
X001001012002 资讯_汽车_导购
X001001012003 资讯_汽车_评测
X001001012004 资讯_汽车_新车
X001001012005 资讯_汽车_二手车
X001001003001 资讯_文化教育_学校
X001001003002 资讯_文化教育_培训
X001001003003 资讯_文化教育_出国
X001001003004 资讯_文化教育_婴幼儿
X001001003005 资讯_文化教育_考试
X001001003006 资讯_文化教育_艺术
X001001003007 资讯_文化教育_翻译
X001005001000 电商购物_虚拟货币
X001005002000 电商购物_服装
X001005003000 电商购物_鞋包配饰
X001005004000 电商购物_运动户外
X001005005000 电商购物_珠宝饰品
X001005006000 电商购物_数码
X001005007000 电商购物_家电
X001005008000 电商购物_美容彩妆
X001005009000 电商购物_母婴用品
X001005010000 电商购物_家居建材
X001005011000 电商购物_日用市场
X001005012000 电商购物_食品保健
X001005013000 电商购物_图书
X001005014000 电商购物_音像制品
X001005015000 电商购物_汽车摩托
X001005016000 电商购物_玩具市场
X001005017000 电商购物_文化用品
X001005018000 电商购物_爱好市场
X001005019000 电商购物_生活服务
X001002006001 娱乐_游戏_单机游戏
X001002006002 娱乐_游戏_网络游戏
X001002006003 娱乐_游戏_页面游戏
X001002006004 娱乐_游戏_角色扮演
X001002006005 娱乐_游戏_策略游戏
X001002006006 娱乐_游戏_模拟经营
X001002006007 娱乐_游戏_动作冒险
X001002006008 娱乐_游戏_射击飞行
X001002006009 娱乐_游戏_赛车游戏
X001002006010 娱乐_游戏_体育竞技
X001002006011 娱乐_游戏_棋牌游戏
X001002006012 娱乐_游戏_益智休闲
X001002006013 娱乐_游戏_音乐游戏
