122.226.37.110	OHsEaHwsBGw=	1491955756251	widget.weibo.com/relationship/followbutton.php?btn=red&style=3&uid=1886494563&width=220&height=24&language=zh_cn	v.baidu.com/kan/aFg1X?fr=www.hao123.com/bangdan&framehost=baidu.baomihua.com&referer=http://www.hao123.com/link/https/%3Fkey%3Dhttp%253A%252F%252Fbaidu.baomihua.com%252Fkan%252FaFg1X%253Ffr%253Dwww.hao123.com%252Fbangdan%26tn%3D92150826_hao_pg%26c%3D5B3E3	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)	180.149.134.224	SUB=_2AkMvgSYgf8NxqwJRmP4RxW3qaY9zzwHEieKZ3df7JRMxHRl-yT83qm4mtRBqUoRShilF8gEMZwq0NdD11g2Ptg..; SUBP=0033WrSXqPxfM72-Ws9jqgMF55529P9D9WFuoSFLq-Phw-gzzoxD5Exe; UOR=fashion.ifeng.com,widget.weibo.com,baishi.baidu.com; _s_tentry=baishi.baidu.com	9371	3938	2
183.129.230.106	OHsELFFsLDI=	1491955681867	cm.l.qq.com/?dspid=110055&dspuid=s0e84ae6aea47c80cbf&gettuid=1&ext=1	www.iqiyi.com/v_19rrmacgqs.html?src=frbdaldjunest&vfm=bdvtx&frp=v.hao123.com%2Fv&kwid=14857	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 BIDUBrowser/7.6 Safari/537.36	101.227.130.120	cm_cookie=V1,110065&65CqmHLz27&AQEBvTnSTakjXwNASYHIpn-JO-PSMKBpBNCo&170412&170412,110087&NoHCzvyMQNu7-SKVo53ysljtb7M&AQEB4pizDMBGHH-7MZ4wW5sZ3WZhMMf3sn6Q&170412&170412; reduplicate_cookie=110087&NoHCzvyMQNu7-SKVo53ysljtb7M&1491955635	62295	31542	2
218.71.136.109	OHsELFFRfGw=	1491955756864	stadig.ifeng.com/page.js?uri=http%3A%2F%2Fwww.ifeng.com%2F&ref=https%3A%2F%2Fwww.hao123.com%2Flink%2Fhttps%2F%3Fkey%3Dhttp%253A%252F%252Fwww.ifeng.com%7C%7Cc%3D83F1AE3D6DD976384D25C09BC39165F0&snapid=PC%2Cwindows_7%2CCM_57%2C1600*900&uid=1491879455841_dfq9lw4509&sid=&editor=&timestamp=1491955899866&versions=3.4.7&ztime=3007&ftime=3007&support=33	www.ifeng.com/	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2979.2 Safari/537.36	106.39.57.177	userid=1491879455841_dfq9lw4509; prov=cn0571; city=0574; weather_city=zj_nb; region_ip=218.71.136.x; region_ver=1.2; vjuids=582cb2934.15b5afa7a3c.0.e7136912e7237; UM_distinctid=15b5afaf52a7a7-0d4bcf00198d64-161e7e56-15f900-15b5afaf52b774; __gads=ID=05184b7841ad1875:T=1491889485:S=ALNI_Mb4180f6BwAinz-UkKvLqKJXDTyuA; vjlast=1491373877.1491889244.11	52526	52762	2
115.217.229.93	BGhKUUoyBHwETzJR	1491955758611	app.video.baidu.com/adver/?a=1818&b=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%AD%E9%83%A8%E6%8E%A8%E5%B9%BF%E4%BD%8D-%E9%A1%B5%E6%B8%B8&c=5&category=dsp&transaction_id=459e0684ecb68a4584a2d8d34885008e&sdk_type=dsp-xiaoduadx&sid=2a7944e040e0842f92b7459a4321a69c&impid=1140&adver_version=0.0.0&works_id=&site=http%3A%2F%2Fv.hao123.com%2Fdianshi%2F25518.htm&online=1&play_channel=&duration=0&terminal=pc&position=detailPageMiddlePromotion&cuid=&version=0.0.0&block_sign=&device=&os=0&os_version=&locale=&vendor=&model=&screen_width=0&screen_height=0&idfa=&android_id=&mac=&imei=&connection_type=0&operator_type=0&orientation=&beg=&end=&dpi=0&current=0&total=0&d=show&ts_s=1491954907.9938&e=b2f446015e1f303cecbff9f55f37215070208d2b9dc0829d9a346e746b66d90e&.stamp=0.8256010302727994	v.hao123.com/dianshi/25518.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.2)	115.239.210.48	BAIDUID=25E3F1EDB71EB7B200BF013EB94DCE62:FG=1; BIDUPSID=25E3F1EDB71EB7B200BF013EB94DCE62; PSTM=1490940032	1748	5576	2
61.164.176.238	OHsEaFxoT0o=	1491955683681	finance.sina.com.cn/tougu/goldenstock/goldenstock.js	www.sina.com.cn/	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	61.172.201.195	bdshare_firstime=1491890328695; CNZZDATA1252916811=840906732-1491885118-%7C1491901318; CNZZDATA5399792=cnzz_eid%3D836092497-1491886089-%26ntime%3D1491898928; UOR=www.hao123.com,www.sina.com.cn,; SGUID=1491889881696_28593605; vjuids=-758a17df9.15b5b91031c.0.03543dbd6596c4; vjlast=1491889882.1491889900.10; SINAGLOBAL=61.164.176.238_1491889927.577637; ULV=1491955711052:3:3:3::1491889882733; lxlrttp=1491901566; SUB=_2AkMvsBFOf8NxqwJRmP4TzGzmbItzzA3EieKZ7OCVJRMyHRl-yD83qm4QtRAxEhwL2PcptQCq3z7cpRJkDnERvw..; U_TRS1=000000ee.984e7a8c.58ec6f51.070c37c5; lxlrtst=1491901566_o; Apache=61.164.176.238_1491955758.248626	50878	51053	2
122.245.6.106	BGhKUUosbFxKBAQE	1491955758466	data.video.qiyi.com/videos/v0/20170410/1f/3f/40d732092d8562aaf2525cd153b03bc4.f4v?qd_tvid=649234400&qd_vipres=0&qd_index=2&qd_aid=206251701&qd_stert=360732&qd_scc=dd5cf19bc8196453f2b4fe467857ade7&qd_sc=5988b2e7c034c9a331849463e12a9dbb&qd_ip=7af5066a&qd_k=ae95f7346d801aa6df6a5b964ebbb5b2&qd_src=1702633101b340d8917a69cf8a4b8c7c&qd_vipdyn=0&qd_uid=0&qd_tm=1491955689536&qd_vip=0&ran=55326&qyid=9f211c273c1a0029f16dc4bcd471b8ff&qypid=649234400_11&pv=0.1&pri_idc=yangzhou3_ct	www.iqiyi.com/v_19rrbb0o0c.html?src=frbdaldjunest&frp=v.hao123.com%2Fdianshi_intro%2F&bl=jp_video&kwid=25881	Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36	101.227.200.134		54177	51066	2
60.180.163.58	BkshVTIsbE8sXARR	1491955759789	m.hao123.com/?union=1&from=1012491j&tn=ops1012491j		Mozilla/5.0 (Linux; Android 6.0.1; SM-A8000 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile UCBrowser/6.2 TBS/043024 Safari/537.36	115.239.217.129	BAIDUID=BF4FA79620212606581DA7FF9ECAB71F:FG=1; nonUnion=1; __cfduid=d87bdff3caca7f110787cca8f533b27261490667129; sid=3777022391490771683; sv2=xxl_4; sv3=xxl_4; Hm_lvt_48c57cebc84275afcff127cd20c37e4b=1491724286,1491751797,1491878559,1491878938; Hm_lpvt_48c57cebc84275afcff127cd20c37e4b=1491955664; lastLocTime=; fp_http=7953aa4c073ebef7a7bdcb86ec0a7eac	29039	42623	1
202.107.231.234	OHsEaEpRMjI=	1491955684001	stadig.ifeng.com/dursta.js?action=pause&datatype=durtime&value=224&uri=http%3A%2F%2Fwww.ifeng.com%2F&ref=https%3A%2F%2Fwww.hao123.com%2F%3Ftn%3D98971348_hao_pg&uid=1460009231765_o0kzua571&sid=&time=1491955748579&ci=&pt=	www.ifeng.com/	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36	36.110.202.107	UM_distinctid=15b45c80f0d1cf-0de8f4981-536e3c77-13c680-15b45c80f0e81c; userid=1460009231765_o0kzua571; __gads=ID=3074155a73bb1b7b:T=1491524398:S=ALNI_MbEcESK-p-p0oeDs08zr6MtNKlklg; vjuids=1262606c5b.15b45c9dcf5.0.de49f8a5; prov=cn0571; city=0579; weather_city=zj_jh; region_ip=202.107.231.x; region_ver=1.2; _ga=GA1.2.1093890744.1491802584; games_source_316765743=2; games_source_3962747416=7; selCityName=%E9%87%91%E5%8D%8E; vjlast=1491524509.1491894172.11	3579	59109	2
61.164.95.226	OHsEfGxRSgQ=	1491955678626	car.autohome.com.cn/photo/series/24585/1/3803909.html	www.autohome.com.cn/1004/	Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko	183.131.210.66	__utmc=1; cookieCityId=330200; fvlid=1488414508269aATwH0gb; sessionip=61.164.95.226; sessionid=9064EEE3-2F4F-4177-9A0F-B91C07AE831C%7C%7C2017-03-02+08%3A28%3A34.731%7C%7Cwww.hao123.com; ref=www.hao123.com%7C0%7C0%7Cwww.wuaiso.com%7C2017-04-12+08%3A09%3A04.853%7C2017-03-27+11%3A39%3A16.023; area=330299; __utma=1.918775098.1491880276.1491880276.1491952523.2; __utmz=1.1491952523.2.2.utmcsr=hao123.com|utmccn=(referral)|utmcmd=referral|utmcct=/link/https/; mallsfvi=1488414849652rIYu7nbF%7Cwww.autohome.com.cn%7C2018289; cityId=539; sessionuid=9064EEE3-2F4F-4177-9A0F-B91C07AE831C%7C%7C2017-03-02+08%3A28%3A34.731%7C%7Cwww.hao123.com; wwwjbtab=0%2C0; ahpvno=37; sessionvid=270094DB-92EA-46B1-B8D1-369424157EBA; cna=YlF0EctFtSgCAT2kX+JbPiax; __utmb=1.0.10.1491952523; ahrlid=1491955741184IooW00bN-1491955760917; FromPicList=0	50829	60466	2
122.230.41.89	EFcGPHUsbEpsBAR8	1491955678334	m.hao123.com/?union=1&from=1012491j&tn=ops1012491j		Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G35 Safari/601.1	115.239.217.129		10151	63442	1
122.230.41.89	EFcGPHUsbEpsBAR8	1491955678334	www.hao123.com/?tn=ops1012491j		Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G35 Safari/601.1	115.239.217.129		10151	63442	1
